"Статус":"Количество"
"Rejected":"120"
"Accepted":"43"
"Deferred":"36"
"Final":"269"
"Withdrawn":"55"
"Draft":"28"
"Superseded":"20"
"Active":"31"
"April Fool!":"1"
"Total":"603"
